auc	precision	recall	fscore_pos	fscore_tot
0.923913043478	0.67	0.5	0.57	0.77
0.862222222222	0.5	0.4	0.44	0.695
0.912878787879	0.6	0.5	0.55	0.745
0.755555555556	0.5	0.4	0.44	0.695
0.821428571429	0.5	0.38	0.43	0.67
0.963455149502	0.71	0.71	0.71	0.83
0.951219512195	0.7	0.78	0.74	0.84
0.983388704319	1.0	0.57	0.73	0.85
0.845	1.0	0.4	0.57	0.75
1.0	1.0	1.0	1.0	1.0
0.9325	0.73	0.8	0.76	0.85
0.787878787879	0.33	0.17	0.22	0.57
0.928888888889	1.0	0.8	0.89	0.94
0.939393939394	1.0	0.33	0.5	0.73
0.863095238095	1.0	0.75	0.86	0.92
0.943521594684	0.67	0.57	0.62	0.78
0.990033222591	0.86	0.86	0.86	0.92
0.950166112957	1.0	0.43	0.6	0.78
0.904761904762	0.57	0.5	0.53	0.725
0.9825	0.82	0.9	0.86	0.91
0.913279132791	0.88	0.78	0.82	0.89
0.934782608696	0.67	0.5	0.57	0.77
0.962719298246	0.73	0.67	0.7	0.805
0.853820598007	0.6	0.43	0.5	0.715
0.925595238095	1.0	0.38	0.55	0.745
0.955357142857	0.83	0.62	0.71	0.83
0.963455149502	0.57	0.57	0.57	0.75
0.916666666667	0.83	0.62	0.71	0.83
0.798913043478	0.75	0.75	0.75	0.865
0.853820598007	0.75	0.43	0.55	0.745
0.96875	0.5	0.5	0.5	0.74
0.950757575758	0.67	1.0	0.8	0.88
0.96	0.6	0.6	0.6	0.78
0.765151515152	0.8	0.67	0.73	0.85
0.931818181818	0.5	0.5	0.5	0.715
1.0	1.0	1.0	1.0	1.0
0.719696969697	0.2	0.17	0.18	0.54
0.946666666667	0.6	0.6	0.6	0.78
0.902173913043	0.5	0.75	0.6	0.78
0.882575757576	0.43	0.5	0.46	0.69
0.900709219858	0.0	0.0	0.0	0.46
0.950166112957	0.67	0.57	0.62	0.78
1.0	1.0	1.0	1.0	1.0
0.964285714286	1.0	0.5	0.67	0.81
0.975609756098	0.89	0.89	0.89	0.935
0.985815602837	0.67	0.67	0.67	0.825
0.976744186047	0.83	0.71	0.77	0.87
0.953929539295	1.0	0.67	0.8	0.88
0.997023809524	0.88	0.88	0.88	0.93
0.971631205674	1.0	0.67	0.8	0.895
0.955	1.0	0.6	0.75	0.85
0.940476190476	1.0	0.5	0.67	0.81
0.96875	0.25	0.5	0.33	0.645
0.829268292683	0.83	0.56	0.67	0.805
0.978260869565	1.0	0.5	0.67	0.825
0.954545454545	1.0	0.33	0.5	0.73
0.967261904762	0.83	0.62	0.71	0.83
0.916666666667	1.0	0.5	0.67	0.82
0.994565217391	0.75	0.75	0.75	0.865
0.842261904762	0.83	0.62	0.71	0.83
0.701086956522	0.4	0.5	0.44	0.695
0.937777777778	0.5	0.4	0.44	0.695
0.991071428571	0.78	0.88	0.82	0.89
0.925	1.0	0.7	0.82	0.89
0.907738095238	0.83	0.62	0.71	0.83
0.977777777778	1.0	0.6	0.75	0.865
0.977777777778	0.8	0.8	0.8	0.89
0.866071428571	1.0	0.38	0.55	0.745
0.913621262458	0.62	0.71	0.67	0.805
0.983388704319	0.75	0.86	0.8	0.88
0.949404761905	0.83	0.62	0.71	0.83
0.963455149502	0.71	0.71	0.71	0.83
0.955555555556	1.0	0.6	0.75	0.865
0.956639566396	1.0	0.44	0.62	0.78
0.905303030303	0.57	0.67	0.62	0.78
0.982222222222	1.0	0.8	0.89	0.94
0.71096345515	1.0	0.43	0.6	0.78
0.980066445183	0.83	0.71	0.77	0.87
0.943262411348	1.0	0.67	0.8	0.895
0.881118881119	0.88	0.64	0.74	0.84
0.916943521595	0.4	0.29	0.33	0.62
0.875	0.0	0.0	0.0	0.48
0.914893617021	0.0	0.0	0.0	0.485
0.990033222591	0.75	0.86	0.8	0.88
0.983695652174	0.75	0.75	0.75	0.865
0.949404761905	0.67	0.5	0.57	0.75
0.877976190476	0.8	0.5	0.62	0.78
0.992424242424	0.83	0.83	0.83	0.905
0.962121212121	0.83	0.83	0.83	0.905
0.937777777778	0.5	0.6	0.55	0.745
0.922619047619	0.71	0.62	0.67	0.805
0.949404761905	1.0	0.38	0.55	0.745
0.818181818182	0.67	0.67	0.67	0.81
0.809523809524	0.71	0.62	0.67	0.805
0.931547619048	0.8	0.5	0.62	0.78
0.901515151515	0.75	0.5	0.6	0.78
0.956639566396	0.8	0.89	0.84	0.9
0.956810631229	0.83	0.71	0.77	0.87
0.949404761905	1.0	0.5	0.67	0.81
0.960132890365	0.83	0.71	0.77	0.87
0.782222222222	1.0	0.4	0.57	0.77
0.940199335548	0.67	0.57	0.62	0.78
0.982222222222	0.67	0.8	0.73	0.85
0.983388704319	0.86	0.86	0.86	0.92
0.831111111111	1.0	0.6	0.75	0.865
0.906666666667	0.75	0.6	0.67	0.82
0.994565217391	0.67	1.0	0.8	0.89
0.909090909091	0.5	0.83	0.62	0.775
0.945799457995	0.8	0.44	0.57	0.75
0.937777777778	0.75	0.6	0.67	0.82
0.949561403509	0.91	0.83	0.87	0.915
0.963455149502	1.0	0.71	0.83	0.905
0.934210526316	0.8	0.67	0.73	0.825
0.983695652174	1.0	0.75	0.86	0.925
0.92	0.5	0.6	0.55	0.745
0.979166666667	0.86	0.75	0.8	0.88
0.842818428184	1.0	0.33	0.5	0.715
0.923913043478	0.75	0.75	0.75	0.865
0.968888888889	0.67	0.8	0.73	0.85
0.800595238095	0.6	0.38	0.46	0.69
0.929539295393	0.6	0.67	0.63	0.77
0.961956521739	0.67	0.5	0.57	0.77
0.955710955711	0.9	0.82	0.86	0.91
0.935606060606	0.4	0.33	0.36	0.64
0.885869565217	0.4	0.5	0.44	0.695
0.945799457995	0.71	0.56	0.63	0.78
0.810606060606	0.6	0.5	0.55	0.745
0.875555555556	0.67	0.4	0.5	0.73
0.960132890365	1.0	0.57	0.73	0.85
0.943262411348	0.5	0.33	0.4	0.685
0.915555555556	0.57	0.8	0.67	0.81
0.967391304348	1.0	0.25	0.4	0.685
0.901515151515	0.8	0.67	0.73	0.85
0.940199335548	0.67	0.86	0.75	0.85
0.9375	0.86	0.75	0.8	0.88
0.916943521595	0.57	0.57	0.57	0.75
0.93	0.67	0.6	0.63	0.77
0.934523809524	0.71	0.62	0.67	0.805
0.906976744186	0.6	0.43	0.5	0.715
0.94696969697	0.71	0.83	0.77	0.87
